metric_date,store_id,store_name,region,product_category,orders,units_sold,net_revenue_usd,gross_margin_usd,gross_margin_pct,on_hand_units,reorder_point_units,stockout_flag,fill_rate_pct,shipped_on_time_pct,returns_units
2026-02-15,S001,Austin Central,South Central,Apparel,9,13,789.24,410.4,52.0,176,110,0,99.1,97.6,1
2026-02-15,S001,Austin Central,South Central,Footwear,4,7,605.82,296.85,49.0,104,75,0,99.1,97.6,0
2026-02-15,S001,Austin Central,South Central,Home,4,5,336.95,155.0,46.0,118,68,0,99.1,97.6,0
2026-02-15,S001,Austin Central,South Central,Beauty,8,14,471.55,268.78,57.0,190,145,0,99.1,97.6,1
2026-02-15,S001,Austin Central,South Central,Consumer Electronics,2,3,469.05,145.41,31.0,46,38,0,99.1,97.6,0
2026-02-15,S002,Dallas North,South Central,Apparel,5,9,524.97,272.98,52.0,84,110,0,99.1,97.6,0
2026-02-15,S002,Dallas North,South Central,Footwear,5,8,607.28,297.56,49.0,94,75,0,99.1,97.6,0
2026-02-15,S002,Dallas North,South Central,Home,4,7,486.94,223.99,46.0,80,68,0,99.1,97.6,0
2026-02-15,S002,Dallas North,South Central,Beauty,11,16,622.12,354.61,57.0,136,145,0,99.1,97.6,1
2026-02-15,S002,Dallas North,South Central,Consumer Electronics,2,4,595.92,184.73,31.0,57,38,0,99.1,97.6,0
2026-02-15,S003,Houston Heights,South Central,Apparel,6,10,606.17,315.21,52.0,124,110,0,99.1,97.6,0
2026-02-15,S003,Houston Heights,South Central,Footwear,4,6,525.15,257.32,49.0,106,75,0,99.1,97.6,0
2026-02-15,S003,Houston Heights,South Central,Home,5,6,436.21,200.66,46.0,96,68,0,99.1,97.6,0
2026-02-15,S003,Houston Heights,South Central,Beauty,10,13,477.72,272.3,57.0,111,145,0,99.1,97.6,0
2026-02-15,S003,Houston Heights,South Central,Consumer Electronics,3,4,573.45,177.77,31.0,34,38,0,99.1,97.6,0
2026-02-15,S004,Chicago Loop,Midwest,Apparel,7,9,478.06,248.59,52.0,149,110,0,99.1,97.6,1
2026-02-15,S004,Chicago Loop,Midwest,Footwear,6,8,636.04,311.66,49.0,59,75,0,99.1,97.6,1
2026-02-15,S004,Chicago Loop,Midwest,Home,4,5,360.09,165.64,46.0,68,68,0,99.1,97.6,0
2026-02-15,S004,Chicago Loop,Midwest,Beauty,7,11,376.65,214.69,57.0,219,145,0,99.1,97.6,1
2026-02-15,S004,Chicago Loop,Midwest,Consumer Electronics,3,4,646.88,200.53,31.0,52,38,0,99.1,97.6,0
2026-02-15,S005,Minneapolis Uptown,Midwest,Apparel,7,10,609.47,316.93,52.0,99,110,0,99.1,97.6,1
2026-02-15,S005,Minneapolis Uptown,Midwest,Footwear,5,7,585.47,286.88,49.0,91,75,0,99.1,97.6,0
2026-02-15,S005,Minneapolis Uptown,Midwest,Home,3,5,358.98,165.13,46.0,86,68,0,99.1,97.6,0
2026-02-15,S005,Minneapolis Uptown,Midwest,Beauty,7,11,375.43,213.99,57.0,256,145,0,99.1,97.6,1
2026-02-15,S005,Minneapolis Uptown,Midwest,Consumer Electronics,3,4,653.31,202.53,31.0,65,38,0,99.1,97.6,0
2026-02-15,S006,Denver Union,Mountain,Apparel,6,9,492.09,255.88,52.0,98,110,0,99.1,97.6,1
2026-02-15,S006,Denver Union,Mountain,Footwear,4,6,456.4,223.64,49.0,115,75,0,99.1,97.6,0
2026-02-15,S006,Denver Union,Mountain,Home,2,4,277.1,127.46,46.0,63,68,0,99.1,97.6,0
2026-02-15,S006,Denver Union,Mountain,Beauty,8,12,408.9,233.07,57.0,124,145,0,99.1,97.6,1
2026-02-15,S006,Denver Union,Mountain,Consumer Electronics,2,3,465.32,144.25,31.0,64,38,0,99.1,97.6,0
2026-02-15,S007,Phoenix Biltmore,Southwest,Apparel,8,10,597.25,310.57,52.0,143,110,0,99.1,97.6,1
2026-02-15,S007,Phoenix Biltmore,Southwest,Footwear,5,9,746.64,365.85,49.0,68,75,0,99.1,97.6,1
2026-02-15,S007,Phoenix Biltmore,Southwest,Home,3,5,369.36,169.91,46.0,86,68,0,99.1,97.6,0
2026-02-15,S007,Phoenix Biltmore,Southwest,Beauty,9,14,528.78,301.41,57.0,169,145,0,99.1,97.6,1
2026-02-15,S007,Phoenix Biltmore,Southwest,Consumer Electronics,2,4,645.66,200.16,31.0,49,38,0,99.1,97.6,0
2026-02-15,S008,Seattle Capitol Hill,Pacific,Apparel,6,9,513.75,267.15,52.0,146,110,0,99.1,97.6,0
